geoName,alternet,democracy now!,the daily best,the huffington post,the intercept,jacobin,mother jones,msnbc,the new yorker,the nation,slate,vox,abc,the atlantic,buzzfeed news,cbs,cnn,the economist,the guardian,nbc,new york times,npr opinion,politico,time,the washington post,associated press,bbc,bloomberg,christian science monitor,npr,reuters,the hill,usa today,wall street journal,fox news,reason free minds free markets,washington examiner,washington times,the american spectator,breitbart,the blaze,cbn,the daily caller,daily mail,the daily wire,the federalist,national review,new york post,newsmax
New Hampshire,0,0,0,0,0,0,67,2147,142,444,437,65,2238,260,0,586,1836,47,26,505,344,0,128,2489,39,199,1198,820,71,712,131,455,373,403,1638,0,0,1100,0,0,0,100,0,400,100,66,1210,624,200
New Jersey,325,0,65,1770,140,0,90,2457,149,304,197,85,2397,321,0,632,1684,35,24,625,322,0,73,2597,8,159,1383,944,48,466,186,357,364,483,1610,0,33,2501,0,66,276,723,0,2001,0,144,753,1544,559
New Mexico,350,0,200,200,150,0,33,2568,101,298,548,82,2191,79,0,423,1885,54,48,590,414,0,167,2391,28,126,1543,245,73,1013,184,187,391,411,1827,0,0,500,0,400,0,300,0,500,0,200,867,383,150
New York,852,0,141,1886,121,4,27,2514,177,278,308,78,2444,170,0,595,1747,27,15,616,454,0,70,2475,1,102,1385,1024,36,453,249,296,333,571,1551,0,42,2538,34,386,500,532,0,1968,0,159,629,2007,205
North Carolina,433,0,183,1084,100,14,57,2565,69,295,260,97,2513,130,0,572,1864,26,19,519,213,0,81,2699,7,198,1371,672,47,712,82,415,366,274,1863,0,33,2321,0,146,112,368,0,2220,0,177,1442,1044,337
North Dakota,0,0,0,0,200,0,0,2517,0,183,80,89,2131,0,0,707,1444,59,12,778,238,0,38,2694,30,500,898,643,0,259,25,273,268,285,2049,0,0,300,0,100,0,100,0,200,0,99,201,200,0
Ohio,641,0,200,876,83,4,54,2664,66,212,268,91,2506,135,0,646,1779,12,20,543,215,0,79,2700,6,225,1351,635,75,714,90,228,422,312,1948,0,0,2567,0,33,311,404,0,1985,0,254,1228,1189,329
Oklahoma,200,0,0,250,250,0,35,2423,22,520,294,126,2373,207,0,696,1777,14,5,508,227,0,134,2616,23,165,1261,982,0,592,89,259,537,315,1800,0,0,1000,0,0,0,484,0,1316,0,0,638,795,267
Oregon,533,0,0,933,34,0,21,2490,129,360,400,241,2262,97,0,465,1829,21,39,646,351,0,136,2485,28,126,1342,508,130,894,260,277,337,339,1787,0,0,1700,0,0,199,351,0,1400,150,158,1453,1020,269
Pennsylvania,289,0,300,1727,184,0,51,2576,93,280,289,59,2484,168,0,693,1701,22,18,566,306,0,88,2598,8,193,1492,765,37,513,144,326,425,323,1782,0,0,2360,40,200,128,484,0,2388,0,123,1170,1258,449
Rhode Island,0,0,0,749,51,0,120,2582,52,246,306,85,2363,246,0,584,1561,52,39,764,409,0,138,2448,5,0,1366,545,166,823,181,363,444,633,1379,0,0,700,0,0,200,50,0,650,0,0,850,850,200
South Carolina,250,0,0,550,0,0,44,2578,56,322,496,73,2273,158,0,598,1785,39,24,554,198,0,104,2688,10,148,1304,596,58,894,139,384,415,328,1734,0,0,1400,0,200,0,603,0,1397,0,51,1113,1256,180
South Dakota,0,0,0,0,200,0,155,2099,0,246,202,46,2430,122,0,694,1608,0,54,644,256,0,90,2624,30,203,1264,399,0,534,133,165,381,238,2083,0,0,100,0,0,0,100,0,400,0,0,200,200,400
Tennessee,500,0,100,350,250,0,18,2448,31,503,309,91,2493,107,0,627,1854,30,18,471,210,0,77,2702,11,261,1493,615,64,567,106,183,456,234,2021,0,0,1700,0,100,150,650,0,1600,0,50,1036,745,669
Texas,1102,0,174,1529,95,14,35,2603,73,275,218,84,2619,79,0,590,1773,11,7,619,190,0,54,2752,4,159,1462,679,55,645,97,243,312,308,2040,0,278,2243,22,357,183,792,0,2005,20,381,1102,960,557
Utah,0,0,0,400,0,0,42,2402,113,443,350,64,2460,126,0,606,1493,48,23,830,224,0,67,2697,12,152,1215,746,29,858,114,337,542,477,1530,0,100,1250,0,150,1594,123,0,683,0,150,800,800,550
Vermont,50,0,0,450,0,0,0,2157,187,356,536,0,1758,406,0,516,1831,70,34,549,612,0,297,2042,49,126,1282,401,121,970,56,421,355,467,1701,0,0,300,0,0,100,0,0,200,0,100,200,100,100
Virginia,710,0,134,1398,158,0,42,2528,130,300,232,129,2509,130,0,575,1785,33,21,586,272,0,149,2561,18,138,1683,608,45,526,142,283,406,305,1864,0,98,2787,20,95,184,1249,0,1536,31,293,1010,1322,375
Washington,715,0,300,959,126,0,62,2526,77,335,383,91,2384,142,0,459,1788,37,29,687,326,0,97,2559,18,143,1457,498,93,809,168,283,343,398,1808,0,111,2807,0,82,216,609,0,1675,0,194,1180,983,643
West Virginia,0,0,0,0,0,0,0,2365,185,150,181,0,2536,83,0,750,1731,0,29,490,463,0,163,2362,12,108,1329,705,0,758,61,311,400,132,2096,0,0,500,0,0,0,16,0,2384,0,0,400,500,0
Wisconsin,233,0,0,933,334,0,78,2515,58,349,350,83,2465,102,0,595,1681,34,36,654,266,0,102,2613,19,220,1405,513,65,797,117,228,447,384,1824,0,0,1551,0,249,150,583,0,1267,0,133,1241,999,427
Wyoming,0,0,0,0,100,0,0,2316,0,284,97,175,1994,34,0,502,1676,47,0,775,358,0,178,2464,0,323,910,392,0,875,125,51,552,99,1873,0,0,300,0,0,0,0,0,200,0,0,400,200,300
